image_id,D1,D2,D3,D4,D5
39983.jpg,0,1,1,1,1
12525.jpg,1,1,0,1,0
22134.jpg,0,1,0,0,0
07679.jpg,0,1,0,0,1
25561.jpg,1,0,0,0,0
42859.jpg,0,1,0,0,1
39969.jpg,0,1,1,0,1
35211.jpg,0,1,1,0,1
30897.jpg,0,1,1,0,1
23747.jpg,1,1,1,1,0
42573.jpg,0,1,1,0,1
19490.jpg,0,0,1,0,1
06546.jpg,0,0,1,0,1
22216.jpg,0,0,1,1,1
24414.jpg,0,0,1,0,1
09975.jpg,0,1,1,0,1
26293.jpg,0,0,0,1,1
44543.jpg,1,0,0,1,1
42795.jpg,1,0,1,0,1
06304.jpg,1,0,1,0,1
15874.jpg,1,0,0,1,1
27053.jpg,1,0,1,0,1
25727.jpg,1,0,1,0,1
39529.jpg,1,0,1,1,1
40142.jpg,1,0,1,0,1
15509.jpg,1,0,1,0,1
18773.jpg,1,0,1,0,1
14706.jpg,1,0,1,1,1
17616.jpg,1,0,1,0,1
11281.jpg,1,1,1,0,1
30042.jpg,1,0,1,0,1
04658.jpg,1,1,1,0,1
44683.jpg,1,0,1,0,1
41287.jpg,1,0,1,0,1
03814.jpg,1,0,0,1,1
30207.jpg,1,1,1,0,1
05151.jpg,1,1,1,0,1
22371.jpg,0,1,1,0,1
02757.jpg,0,1,1,0,1
37642.jpg,0,1,1,0,1
21133.jpg,1,1,1,1,1
24965.jpg,1,0,1,0,1
16852.jpg,0,0,1,0,1
27037.jpg,1,0,1,0,1
20646.jpg,1,0,0,0,1
36907.jpg,1,0,1,0,1
30226.jpg,0,1,1,0,1
39312.jpg,1,0,1,0,1
26554.jpg,1,0,1,0,1
38180.jpg,1,0,0,0,1
21030.jpg,1,1,1,0,0
05305.jpg,1,0,1,0,1
41759.jpg,1,0,1,0,1
21803.jpg,1,0,1,0,1
30241.jpg,1,0,1,0,1
34529.jpg,1,0,1,0,1
28334.jpg,1,0,1,0,1
43960.jpg,1,0,1,0,1
41491.jpg,1,0,1,0,1
49214.jpg,1,0,1,0,1
48527.jpg,1,1,1,0,1
33471.jpg,1,0,1,0,1
14900.jpg,1,0,1,0,1
46977.jpg,1,0,1,0,1
09564.jpg,1,0,0,0,1
49420.jpg,1,0,1,0,1
46955.jpg,1,0,1,0,1
20849.jpg,1,0,1,0,1
31428.jpg,1,0,1,1,1
30835.jpg,1,0,1,0,1
11946.jpg,1,0,1,0,1
48521.jpg,1,0,1,0,1
25133.jpg,0,1,1,0,1
49469.jpg,1,1,1,0,0
37860.jpg,0,1,1,0,1
35523.jpg,1,0,1,0,1
45222.jpg,0,0,1,1,1
30800.jpg,1,1,1,0,0
25371.jpg,1,0,1,1,0
46129.jpg,1,0,1,1,1
39344.jpg,1,0,1,1,1
14141.jpg,1,0,1,0,1
06402.jpg,0,1,1,0,0
09056.jpg,1,0,1,1,1
38726.jpg,1,0,1,1,1
07254.jpg,1,0,1,0,1
03589.jpg,1,0,0,1,1
10371.jpg,1,0,1,0,1
47320.jpg,1,0,1,0,1
26884.jpg,0,0,1,1,1
22399.jpg,1,0,0,1,1
10972.jpg,1,0,0,1,1
07493.jpg,1,0,1,0,1
30899.jpg,0,1,0,0,0
02916.jpg,1,0,1,0,1
40896.jpg,1,0,1,0,1
16309.jpg,1,0,1,0,0
46433.jpg,1,0,1,0,1
21053.jpg,1,0,0,0,1
31326.jpg,1,0,1,1,1
49065.jpg,1,0,0,1,1
27459.jpg,1,0,1,0,0
19310.jpg,1,0,1,0,1
23928.jpg,1,1,0,0,1
25711.jpg,1,0,0,1,1
12553.jpg,1,0,1,1,1
07920.jpg,1,0,0,0,1
02048.jpg,1,0,1,0,1
49584.jpg,1,0,1,0,1
47916.jpg,1,0,1,0,1
30165.jpg,1,0,1,1,1
48613.jpg,1,0,0,1,0
21564.jpg,1,0,1,0,1
36213.jpg,1,0,1,0,1
22741.jpg,1,0,1,0,1
12537.jpg,1,0,1,1,1
02180.jpg,1,0,0,0,0
01787.jpg,1,0,1,0,1
40087.jpg,1,0,1,0,0
35609.jpg,1,0,1,0,1
44312.jpg,1,0,0,1,1
45192.jpg,1,0,1,0,1
31301.jpg,1,0,1,0,1
21609.jpg,1,1,1,0,1
15508.jpg,1,1,1,0,1
23275.jpg,1,0,1,0,1
33632.jpg,1,1,1,0,1
30513.jpg,1,0,1,0,1
01173.jpg,0,0,1,0,1
18520.jpg,0,0,1,0,1
05351.jpg,1,0,1,0,1
16146.jpg,0,0,1,1,1
30291.jpg,0,0,1,0,1
43148.jpg,1,0,1,0,1
00196.jpg,1,1,1,0,1
49834.jpg,0,0,1,0,1
26423.jpg,1,0,1,0,1
30349.jpg,1,0,1,0,1
39562.jpg,1,0,1,0,1
11950.jpg,1,0,1,0,1
33497.jpg,1,0,0,0,1
07248.jpg,1,1,1,0,1
28060.jpg,1,0,1,0,1
31204.jpg,1,0,1,0,1
20162.jpg,1,0,1,0,1
42712.jpg,1,0,1,0,1
03944.jpg,1,0,1,0,1
12652.jpg,1,0,1,0,1
01323.jpg,1,0,1,0,1
